review,sentiment
hate it for the same reason,negative
hate it,negative
hate,negative
"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",negative
"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",negative
"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",negative
"'s little to recommend Snow Dogs ,",negative
's little to recommend Snow Dogs,negative
unless one considers cliched dialogue and perverse escapism a source of high hilarity,negative
cliched dialogue and perverse escapism a source of high hilarity,negative
cliched dialogue and perverse escapism,negative
cliched dialogue and,negative
cliched dialogue,negative
cliched,negative
perverse,negative
"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",negative
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",negative
proves that sometimes the dreams of youth should remain just that,negative
that sometimes the dreams of youth should remain just that,negative
sometimes the dreams of youth should remain just that,negative
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,negative
off the path of good sense,negative
off,negative
damned,negative
from baseball movies that try too hard to be mythic,negative
baseball movies that try too hard to be mythic,negative
that try too hard to be mythic,negative
try too hard to be mythic,negative
too hard to be mythic,negative
hard to be mythic,negative
As inept as big-screen remakes of The Avengers and The Wild Wild West .,negative
As inept,negative
inept,negative
as big-screen remakes of The Avengers and The Wild Wild West,negative
's everything you 'd expect -- but nothing more .,negative
everything you 'd expect -- but nothing more,negative
you 'd expect -- but nothing more,negative
nothing,negative
oddest,negative
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,negative
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,negative
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
like going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
frothing,negative
grenade,negative
gag,negative
romantic comedy boilerplate,negative
"an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",negative
mongrel,negative
indecipherable plot complications,negative
complications,negative
preach exclusively to the converted .,negative
"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",negative
chuckles,negative
does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,negative
give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,negative
The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,negative
vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen,negative
vapid actor 's exercise,negative
vapid,negative
"More vaudeville show than well-constructed narrative ,",negative
More vaudeville show than well-constructed narrative,negative
inoffensive,negative
run-of-the-mill action,negative
run-of-the-mill,negative
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",negative
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire",negative
"Hampered -- no , paralyzed -- by a self-indulgent script ...",negative
"Hampered -- no , paralyzed -- by a self-indulgent script",negative
"no , paralyzed",negative
no,negative
", paralyzed",negative
by a self-indulgent script,negative
a self-indulgent script,negative
self-indulgent,negative
that aims for poetry and ends up sounding like satire,negative
aims for poetry and ends up sounding like satire,negative
ends up sounding like satire,negative
makes for some glacial pacing early on,negative
makes for some glacial pacing,negative
"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash",negative
"There 's very little sense to what 's going on here , but",negative
"There 's very little sense to what 's going on here ,",negative
There 's very little sense to what 's going on here,negative
's very little sense to what 's going on here,negative
very little sense to what 's going on here,negative
very little sense,negative
what 's going on here,negative
the cliches with considerable dash,negative
the cliches,negative
"of his first film , The Full Monty ,",negative
"They 're the worst , easily poor forces that serve as whatever terror the heroes of bad movies try to avoid .",negative
"re the worst , easily poor forces that serve as whatever terror the heroes of bad movies try to avoid .",negative
"the worst , easily poor forces that serve as whatever terror the heroes of bad movies try to avoid",negative
"the worst , easily poor forces",negative
"worst , easily poor",negative
", easily poor",negative
poor,negative
whatever terror the heroes of bad movies try to avoid,negative
whatever,negative
terror the heroes of bad movies try to avoid,negative
terror,negative
the heroes of bad movies try to avoid,negative
bad,negative
try to avoid,negative
to avoid,negative
avoid,negative
It almost feels as if the movie is more interested in entertaining itself than in amusing us .,negative
almost feels as if the movie is more interested in entertaining itself than in amusing us .,negative
feels as if the movie is more interested in entertaining itself than in amusing us .,negative
feels as if the movie is more interested in entertaining itself than in amusing us,negative
as if the movie is more interested in entertaining itself than in amusing us,negative
if the movie is more interested in entertaining itself than in amusing us,negative
the movie is more interested in entertaining itself than in amusing us,negative
is more interested in entertaining itself than in amusing us,negative
more interested in entertaining itself than in amusing us,negative
more interested in entertaining itself,negative
The movie 's progression into awful terrible gives new meaning to the phrase ` terrible script error . ',negative
The movie 's progression into awful terrible,negative
into awful terrible,negative
awful terrible,negative
awful,negative
terrible,negative
gives new meaning to the phrase ` terrible script error . ',negative
gives new meaning to the phrase ` terrible script error,negative
to the phrase ` terrible script error,negative
A series of escapades demonstrating the adage that what is good for the goose,neutral
A series,neutral
A,neutral
series,neutral
of escapades demonstrating the adage that what is good for the goose,neutral
of,neutral
escapades demonstrating the adage that what is good for the goose,neutral
escapades,neutral
demonstrating the adage that what is good for the goose,neutral
demonstrating the adage,neutral
demonstrating,neutral
the adage,neutral
the,neutral
adage,neutral
that what is good for the goose,neutral
that,neutral
what is good for the goose,neutral
what,neutral
is good for the goose,neutral
is,neutral
for the goose,neutral
for,neutral
the goose,neutral
goose,neutral
"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",neutral
"is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
is also,neutral
also,neutral
"good for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
"for the gander , some of which occasionally amuses but none of which amounts to much of a story",neutral
"the gander ,",neutral
the gander,neutral
gander,neutral
some of which occasionally amuses but none of which amounts to much of a story,neutral
some of which,neutral
some,neutral
of which,neutral
which,neutral
occasionally amuses but none of which amounts to much of a story,neutral
occasionally,neutral
amuses but none of which amounts to much of a story,neutral
but,neutral
none,neutral
of which amounts to much of a story,neutral
which amounts to much of a story,neutral
amounts to much of a story,neutral
amounts,neutral
to much of a story,neutral
to,neutral
much of a story,neutral
much,neutral
of a story,neutral
a story,neutral
story,neutral
This,neutral
quiet,neutral
introspective,neutral
and,neutral
independent,neutral
is worth,neutral
worth,neutral
seeking,neutral
Even fans of Ismail Merchant 's work,neutral
Even fans,neutral
Even,neutral
of Ismail Merchant 's work,neutral
Ismail Merchant 's work,neutral
Ismail Merchant 's,neutral
Ismail,neutral
Merchant 's,neutral
Merchant,neutral
's,neutral
work,neutral
", I suspect ,",neutral
"I suspect ,",neutral
I suspect,neutral
I,neutral
suspect,neutral
would,neutral
have,neutral
hard,neutral
time,neutral
sitting,neutral
through this one,neutral
through,neutral
this one,neutral
one,neutral
combination,neutral
"of ethnography and all the intrigue , betrayal , deceit and murder",neutral
"ethnography and all the intrigue , betrayal , deceit and murder",neutral
ethnography and,neutral
ethnography,neutral
"all the intrigue , betrayal , deceit and murder",neutral
all,neutral
"intrigue , betrayal , deceit and murder",neutral
", betrayal , deceit and murder",neutral
betrayal,neutral
deceit and,neutral
of a Shakespearean tragedy or a juicy soap opera,neutral
a Shakespearean tragedy or a juicy soap opera,neutral
a Shakespearean tragedy or,neutral
Shakespearean tragedy,neutral
Shakespearean,neutral
or,neutral
soap,neutral
opera,neutral
Aggressive,neutral
self-glorification,neutral
manipulative,neutral
whitewash,neutral
A comedy-drama,neutral
comedy-drama,neutral
nearly epic proportions,neutral
nearly,neutral
proportions,neutral
in,neutral
performance,neutral
by the title character undergoing midlife crisis,neutral
by,neutral
the title character undergoing midlife crisis,neutral
the title character,neutral
title character,neutral
title,neutral
character,neutral
undergoing midlife crisis,neutral
undergoing,neutral
midlife,neutral
crisis,neutral
Narratively,neutral
Trouble Every Day,neutral
Every Day,neutral
Every,neutral
Day,neutral
The Importance,neutral
"of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",neutral
Being,neutral
"Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",neutral
so thick with wit it plays like a reading from Bartlett 's Familiar Quotations,neutral
so,neutral
thick,neutral
with,neutral
wit it plays like a reading from Bartlett 's Familiar Quotations,neutral
wit,neutral
it plays like a reading from Bartlett 's Familiar Quotations,neutral
it,neutral
plays,neutral
like a reading from Bartlett 's Familiar Quotations,neutral
like,neutral
a reading from Bartlett 's Familiar Quotations,neutral
a reading,neutral
reading,neutral
from Bartlett 's Familiar Quotations,neutral
from,neutral
Bartlett 's Familiar Quotations,neutral
Bartlett 's,neutral
Bartlett,neutral
Familiar Quotations,neutral
Familiar,neutral
Quotations,neutral
does,neutral
n't,neutral
leave you with much,neutral
leave you,neutral
you,neutral
with much,neutral
could,neutral
for the same reason,neutral
the same reason,neutral
same reason,neutral
same,neutral
reason,neutral
There,neutral
little to recommend Snow Dogs,neutral
