review,sentiment
a hard time sitting through this one,negative
a hard time,negative
hard time,negative
hard,neutral
time,neutral
sitting through this one,negative
sitting,neutral
through this one,neutral
through,neutral
this one,neutral
one,neutral
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .",positive
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera",positive
"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder",positive
A positively thrilling combination,positive
positively thrilling combination,positive
positively,positive
thrilling combination,positive
thrilling,positive
combination,neutral
"of ethnography and all the intrigue , betrayal , deceit and murder",neutral
"ethnography and all the intrigue , betrayal , deceit and murder",neutral
ethnography and,neutral
ethnography,neutral
"all the intrigue , betrayal , deceit and murder",neutral
all,neutral
"the intrigue , betrayal , deceit and murder",negative
"intrigue , betrayal , deceit and murder",neutral
intrigue,positive
", betrayal , deceit and murder",neutral
"betrayal , deceit and murder",negative
betrayal,neutral
", deceit and murder",negative
deceit and murder,negative
deceit and,neutral
deceit,negative
murder,negative
of a Shakespearean tragedy or a juicy soap opera,neutral
a Shakespearean tragedy or a juicy soap opera,neutral
a Shakespearean tragedy or,neutral
a Shakespearean tragedy,negative
Shakespearean tragedy,neutral
Shakespearean,neutral
tragedy,negative
or,neutral
a juicy soap opera,positive
juicy soap opera,positive
juicy,positive
soap opera,negative
soap,neutral
opera,neutral
Aggressive self-glorification and a manipulative whitewash .,negative
Aggressive self-glorification and a manipulative whitewash,negative
Aggressive,neutral
self-glorification and a manipulative whitewash,negative
self-glorification and,negative
self-glorification,neutral
a manipulative whitewash,negative
manipulative whitewash,negative
manipulative,neutral
whitewash,neutral
A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,positive
A comedy-drama of nearly epic proportions,positive
A comedy-drama,neutral
comedy-drama,neutral
of nearly epic proportions,positive
nearly epic proportions,neutral
nearly epic,positive
nearly,neutral
epic,positive
proportions,neutral
rooted in a sincere performance by the title character undergoing midlife crisis .,positive
rooted in a sincere performance by the title character undergoing midlife crisis,positive
rooted in a sincere performance,positive
rooted,positive
in a sincere performance,positive
in,neutral
a sincere performance,positive
sincere performance,positive
sincere,positive
performance,neutral
by the title character undergoing midlife crisis,neutral
by,neutral
the title character undergoing midlife crisis,neutral
the title character,neutral
title character,neutral
title,neutral
character,neutral
undergoing midlife crisis,neutral
undergoing,neutral
midlife crisis,negative
midlife,neutral
crisis,neutral
"Narratively , Trouble Every Day is a plodding mess .",negative
Narratively,neutral
", Trouble Every Day is a plodding mess .",negative
Trouble Every Day is a plodding mess .,negative
Trouble Every Day,neutral
Trouble,negative
Every Day,neutral
Every,neutral
Day,neutral
is a plodding mess .,negative
is a plodding mess,negative
a plodding mess,negative
plodding mess,negative
plodding,negative
mess,negative
"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",positive
The Importance,neutral
Importance,positive
"of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",neutral
"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",positive
Being,neutral
"Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",neutral
"Earnest ,",positive
Earnest,positive
so thick with wit it plays like a reading from Bartlett 's Familiar Quotations,neutral
so,neutral
thick with wit it plays like a reading from Bartlett 's Familiar Quotations,positive
thick,neutral
with wit it plays like a reading from Bartlett 's Familiar Quotations,positive
with,neutral
wit it plays like a reading from Bartlett 's Familiar Quotations,neutral
wit,neutral
it plays like a reading from Bartlett 's Familiar Quotations,neutral
it,neutral
plays like a reading from Bartlett 's Familiar Quotations,positive
plays,neutral
like a reading from Bartlett 's Familiar Quotations,neutral
like,neutral
a reading from Bartlett 's Familiar Quotations,neutral
a reading,neutral
reading,neutral
from Bartlett 's Familiar Quotations,neutral
from,neutral
Bartlett 's Familiar Quotations,neutral
Bartlett 's,neutral
Bartlett,neutral
Familiar Quotations,neutral
Familiar,neutral
Quotations,neutral
But it does n't leave you with much .,negative
it does n't leave you with much .,negative
does n't leave you with much .,negative
does n't leave you with much,negative
does n't,negative
does,neutral
n't,neutral
leave you with much,neutral
leave you,neutral
leave,negative
you,neutral
with much,neutral
You could hate it for the same reason .,negative
could hate it for the same reason .,negative
could hate it for the same reason,negative
could,neutral
hate it for the same reason,negative
hate it,negative
hate,negative
for the same reason,neutral
the same reason,neutral
same reason,neutral
same,neutral
reason,neutral
"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",negative
There,neutral
"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",negative
"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",negative
"'s little to recommend Snow Dogs ,",negative
's little to recommend Snow Dogs,negative
little to recommend Snow Dogs,neutral
little,neutral
to recommend Snow Dogs,neutral
recommend Snow Dogs,positive
recommend,positive
Snow Dogs,neutral
Snow,neutral
Dogs,neutral
unless one considers cliched dialogue and perverse escapism a source of high hilarity,negative
unless,neutral
one considers cliched dialogue and perverse escapism a source of high hilarity,neutral
considers cliched dialogue and perverse escapism a source of high hilarity,neutral
considers,neutral
cliched dialogue and perverse escapism a source of high hilarity,negative
cliched dialogue and perverse escapism,negative
cliched dialogue and,negative
cliched dialogue,negative
cliched,negative
dialogue,neutral
perverse escapism,neutral
perverse,negative
escapism,neutral
a source of high hilarity,positive
a source,neutral
source,neutral
of high hilarity,positive
high hilarity,positive
high,positive
hilarity,positive
"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",negative
Kung Pow,neutral
Kung,neutral
Pow,positive
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",neutral
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",negative
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and",neutral
"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick ,",neutral
is Oedekerk 's realization of his childhood dream to be in a martial-arts flick,neutral
Oedekerk 's realization of his childhood dream to be in a martial-arts flick,neutral
Oedekerk 's realization of his childhood dream,neutral
Oedekerk 's realization,neutral
Oedekerk 's,neutral
Oedekerk,neutral
realization,neutral
of his childhood dream,neutral
his childhood dream,neutral
his,neutral
childhood dream,neutral
childhood,neutral
dream,positive
to be in a martial-arts flick,neutral
be in a martial-arts flick,neutral
be,neutral
in a martial-arts flick,neutral
a martial-arts flick,neutral
martial-arts flick,neutral
martial-arts,neutral
flick,neutral
proves that sometimes the dreams of youth should remain just that,negative
proves,neutral
that sometimes the dreams of youth should remain just that,negative
sometimes the dreams of youth should remain just that,negative
sometimes,neutral
the dreams of youth should remain just that,neutral
the dreams of youth,positive
the dreams,neutral
dreams,neutral
of youth,neutral
youth,neutral
should remain just that,neutral
should,neutral
remain just that,neutral
remain,neutral
just that,neutral
just,neutral
The performances are an absolute joy .,positive
The performances,neutral
performances,neutral
are an absolute joy .,positive
are an absolute joy,positive
are,neutral
an absolute joy,positive
an,neutral
absolute joy,positive
absolute,neutral
joy,positive
Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive
Fresnadillo,neutral
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive
has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
has,neutral
something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
something,neutral
serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,neutral
serious,neutral
to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,positive
say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,neutral
say,neutral
about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,neutral
about,neutral
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,negative
the ways,neutral
ways,neutral
in which extravagant chance can distort our perspective and throw us off the path of good sense,neutral
in which,neutral
extravagant chance can distort our perspective and throw us off the path of good sense,neutral
extravagant chance,neutral
extravagant,positive
chance,neutral
can distort our perspective and throw us off the path of good sense,neutral
can,neutral
distort our perspective and throw us off the path of good sense,neutral
distort our perspective and,neutral
distort our perspective,neutral
distort,neutral
our perspective,neutral
our,neutral
perspective,neutral
throw us off the path of good sense,neutral
throw us,neutral
throw,neutral
us,positive
off the path of good sense,negative
off,negative
the path of good sense,neutral
the path,neutral
path,neutral
of good sense,positive
good sense,positive
sense,neutral
"I still like Moonlight Mile , better judgment be damned .",positive
"still like Moonlight Mile , better judgment be damned .",positive
still,neutral
"like Moonlight Mile , better judgment be damned .",neutral
"like Moonlight Mile , better judgment be damned",neutral
"Moonlight Mile , better judgment be damned",neutral
"Moonlight Mile , better judgment",neutral
Moonlight,neutral
"Mile , better judgment",neutral
Mile,neutral
", better judgment",neutral
better judgment,neutral
better,positive
judgment,neutral
be damned,neutral
damned,negative
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",positive
A welcome relief from baseball movies that try too hard to be mythic,positive
A welcome relief,positive
welcome relief,positive
welcome,neutral
relief,neutral
from baseball movies that try too hard to be mythic,negative
baseball movies that try too hard to be mythic,negative
baseball movies,neutral
baseball,neutral
movies,neutral
that try too hard to be mythic,negative
try too hard to be mythic,negative
try,neutral
too hard to be mythic,negative
too,neutral
hard to be mythic,negative
to be mythic,neutral
be mythic,neutral
mythic,neutral
", this one is a sweet and modest and ultimately winning story .",positive
this one is a sweet and modest and ultimately winning story .,positive
is a sweet and modest and ultimately winning story .,positive
is a sweet and modest and ultimately winning story,positive
a sweet and modest and ultimately winning story,positive
a sweet and modest and,positive
a sweet and modest,positive
sweet and modest,positive
sweet and,positive
sweet,positive
modest,positive
ultimately winning story,positive
ultimately,neutral
winning story,positive
winning,positive
"a bilingual charmer , just like the woman who inspired it",positive
"a bilingual charmer ,",positive
a bilingual charmer,positive
bilingual charmer,positive
bilingual,neutral
charmer,positive
just like the woman who inspired it,neutral
like the woman who inspired it,neutral
the woman who inspired it,neutral
the woman,neutral
woman,neutral
who inspired it,neutral
who,neutral
inspired it,neutral
inspired,positive
Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,neutral
Like a less dizzily gorgeous companion to Mr.,positive
a less dizzily gorgeous companion to Mr.,neutral
a less dizzily gorgeous companion,neutral
less dizzily gorgeous companion,neutral
less dizzily gorgeous,neutral
less,neutral
dizzily gorgeous,positive
dizzily,neutral
gorgeous,positive
companion,positive
to Mr.,neutral
Mr.,neutral
Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,neutral
Wong,neutral
's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .,neutral
's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting,neutral
's In the Mood for Love -- very much a Hong Kong movie,neutral
In the Mood for Love -- very much a Hong Kong movie,positive
the Mood for Love -- very much a Hong Kong movie,neutral
the Mood,positive
Mood,neutral
for Love -- very much a Hong Kong movie,neutral
Love -- very much a Hong Kong movie,positive
Love -- very much,positive
Love --,positive
Love,positive
--,neutral
very much,neutral
very,neutral
a Hong Kong movie,neutral
Hong Kong movie,neutral
Hong,neutral
Kong movie,neutral
Kong,neutral
movie,neutral
despite its mainland setting,neutral
despite,neutral
its mainland setting,positive
its,neutral
mainland setting,neutral
mainland,neutral
setting,neutral
As inept as big-screen remakes of The Avengers and The Wild Wild West .,negative
As inept as big-screen remakes of The Avengers and The Wild Wild West,neutral
As inept,negative
As,neutral
inept,negative
as big-screen remakes of The Avengers and The Wild Wild West,negative
big-screen remakes of The Avengers and The Wild Wild West,neutral
big-screen remakes,neutral
big-screen,neutral
remakes,neutral
of The Avengers and The Wild Wild West,neutral
The Avengers and The Wild Wild West,neutral
The Avengers and,neutral
The Avengers,neutral
Avengers,neutral
The Wild Wild West,positive
Wild Wild West,neutral
Wild,positive
Wild West,neutral
West,neutral
It 's everything you 'd expect -- but nothing more .,neutral
's everything you 'd expect -- but nothing more .,negative
's everything you 'd expect -- but nothing more,neutral
everything you 'd expect -- but nothing more,negative
everything,neutral
you 'd expect -- but nothing more,negative
'd expect -- but nothing more,neutral
'd,neutral
expect -- but nothing more,neutral
expect -- but nothing,neutral
expect --,neutral
expect,neutral
but nothing,neutral
nothing,negative
more,neutral
"Best indie of the year , so far .",positive
Best,positive
"indie of the year , so far .",positive
"indie of the year , so far",positive
"indie of the year ,",positive
indie of the year,positive
indie,neutral
of the year,neutral
the year,neutral
year,neutral
so far,neutral
far,neutral
"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .",positive
"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",positive
"Hatfield and Hicks make the oddest of couples , and",neutral
"Hatfield and Hicks make the oddest of couples ,",neutral
Hatfield and Hicks make the oddest of couples,neutral
Hatfield and Hicks,neutral
Hatfield and,neutral
Hatfield,neutral
Hicks,neutral
make the oddest of couples,neutral
make,neutral
the oddest of couples,neutral
the oddest,neutral
oddest,negative
of couples,neutral
couples,neutral
"in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",positive
in this sense,neutral
this sense,neutral
"the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",neutral
the movie,neutral
"becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications",neutral
"becomes a study of the gambles of the publishing world ,",neutral
becomes a study of the gambles of the publishing world,neutral
becomes,neutral
a study of the gambles of the publishing world,neutral
a study,neutral
study,neutral
of the gambles of the publishing world,neutral
the gambles of the publishing world,neutral
the gambles,neutral
gambles,neutral
of the publishing world,neutral
the publishing world,neutral
publishing world,neutral
publishing,neutral
world,neutral
offering a case study that exists apart from all the movie 's political ramifications,neutral
offering,neutral
a case study that exists apart from all the movie 's political ramifications,positive
a case study,neutral
case study,neutral
case,neutral
that exists apart from all the movie 's political ramifications,neutral
exists apart from all the movie 's political ramifications,neutral
exists apart,neutral
exists,neutral
apart,neutral
from all the movie 's political ramifications,neutral
all the movie 's political ramifications,neutral
the movie 's political ramifications,neutral
the movie 's,neutral
movie 's,neutral
political ramifications,neutral
political,neutral
ramifications,neutral
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,negative
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,negative
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
like going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
going to a house party and watching the host defend himself against a frothing ex-girlfriend,negative
going to a house party and,neutral
going to a house party,neutral
going,neutral
to a house party,neutral
a house party,neutral
house party,neutral
house,neutral
party,neutral
watching the host defend himself against a frothing ex-girlfriend,neutral
watching,neutral
the host defend himself against a frothing ex-girlfriend,neutral
the host,neutral
host,neutral
defend himself against a frothing ex-girlfriend,neutral
defend himself,positive
defend,neutral
himself,neutral
against a frothing ex-girlfriend,neutral
against,neutral
a frothing ex-girlfriend,neutral
frothing ex-girlfriend,neutral
frothing,negative
ex-girlfriend,neutral
That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,neutral
That the Chuck Norris `` grenade gag '',neutral
the Chuck Norris `` grenade gag '',neutral
Chuck Norris `` grenade gag '',neutral
Chuck,neutral
Norris `` grenade gag '',neutral
Norris,neutral
`` grenade gag '',neutral
``,neutral
grenade gag '',neutral
grenade,negative
gag '',neutral
gag,negative
'',neutral
occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,neutral
occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is,positive
occurs,neutral
about 7 times during Windtalkers is a good indication of how serious-minded the film is,neutral
about 7 times during Windtalkers,neutral
about 7 times,neutral
7 times,neutral
7,neutral
times,neutral
during Windtalkers,neutral
during,neutral
Windtalkers,neutral
is a good indication of how serious-minded the film is,positive
a good indication of how serious-minded the film is,positive
a good indication,positive
good indication,positive
indication,neutral
of how serious-minded the film is,neutral
how serious-minded the film is,positive
how,neutral
serious-minded the film is,neutral
serious-minded the film,positive
serious-minded,neutral
the film,neutral
film,neutral
The plot is romantic comedy boilerplate from start to finish .,neutral
The plot,neutral
plot,neutral
is romantic comedy boilerplate from start to finish .,neutral
is romantic comedy boilerplate from start to finish,positive
romantic comedy boilerplate from start to finish,neutral
romantic comedy boilerplate from start,neutral
romantic comedy boilerplate,negative
romantic,neutral
comedy boilerplate,neutral
comedy,positive
boilerplate,neutral
from start,neutral
start,neutral
to finish,neutral
finish,neutral
"It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",neutral
"arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",neutral
"arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",neutral
arrives,neutral
"with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",neutral
"an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",negative
"an impeccable pedigree , mongrel pep , and almost",neutral
"an impeccable pedigree , mongrel pep , and",neutral
"an impeccable pedigree , mongrel pep ,",neutral
"an impeccable pedigree , mongrel pep",positive
"impeccable pedigree , mongrel pep",positive
impeccable,positive
"pedigree , mongrel pep",neutral
pedigree,neutral
", mongrel pep",neutral
mongrel pep,neutral
mongrel,negative
pep,neutral
almost,neutral
indecipherable plot complications,negative
indecipherable,neutral
plot complications,neutral
complications,negative
A film that clearly means to preach exclusively to the converted .,neutral
A film that clearly means to,neutral
A film,neutral
that clearly means to,neutral
clearly means to,neutral
clearly,neutral
means to,neutral
means,neutral
preach exclusively to the converted .,negative
preach exclusively to the converted,neutral
preach exclusively,neutral
preach,neutral
exclusively,neutral
to the converted,neutral
the converted,neutral
converted,neutral
"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",negative
While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,positive
While,neutral
The Importance of Being Earnest offers opportunities for occasional smiles and chuckles,positive
The Importance of Being Earnest,positive
of Being Earnest,neutral
Being Earnest,neutral
offers opportunities for occasional smiles and chuckles,neutral
offers opportunities for occasional smiles and,positive
offers opportunities for occasional smiles,positive
offers,neutral
opportunities for occasional smiles,neutral
opportunities,neutral
for occasional smiles,positive
occasional smiles,positive
occasional,neutral
smiles,neutral
chuckles,negative
", it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",neutral
it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .,neutral
does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .,neutral
does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,negative
give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,negative
give us,neutral
give,positive
a reason to be in the theater beyond Wilde 's wit and the actors ' performances,neutral
reason to be in the theater beyond Wilde 's wit and the actors ' performances,neutral
to be in the theater beyond Wilde 's wit and the actors ' performances,neutral
be in the theater beyond Wilde 's wit and the actors ' performances,neutral
be in the theater,neutral
in the theater,neutral
the theater,neutral
theater,positive
beyond Wilde 's wit and the actors ' performances,neutral
beyond,neutral
Wilde 's wit and the actors ' performances,neutral
Wilde 's wit and,positive
Wilde 's wit,neutral
Wilde 's,neutral
Wilde,neutral
the actors ' performances,neutral
the actors ',neutral
actors ',neutral
actors,neutral
',neutral
The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,negative
The latest,neutral
latest,neutral
vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,neutral
vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen,negative
vapid actor 's exercise,negative
vapid,negative
actor 's exercise,neutral
actor 's,neutral
actor,neutral
exercise,neutral
to appropriate the structure of Arthur Schnitzler 's Reigen,neutral
appropriate the structure of Arthur Schnitzler 's Reigen,neutral
appropriate the structure,neutral
appropriate,positive
the structure,neutral
structure,neutral
of Arthur Schnitzler 's Reigen,neutral
Arthur Schnitzler 's Reigen,positive
Arthur Schnitzler 's,neutral
Arthur,neutral
Schnitzler 's,neutral
Schnitzler,neutral
Reigen,neutral
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .",neutral
"More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet",positive
"More vaudeville show than well-constructed narrative , but",neutral
"More vaudeville show than well-constructed narrative ,",negative
More vaudeville show than well-constructed narrative,negative
More vaudeville,neutral
vaudeville,neutral
show than well-constructed narrative,positive
show,neutral
than well-constructed narrative,positive
than,neutral
well-constructed narrative,positive
well-constructed,positive
narrative,neutral
on those terms it 's inoffensive and actually rather sweet,positive
on those terms,neutral
on,neutral
those terms,neutral
those,neutral
terms,neutral
it 's inoffensive and actually rather sweet,positive
's inoffensive and actually rather sweet,positive
inoffensive and actually rather sweet,positive
inoffensive and actually,neutral
inoffensive and,neutral
inoffensive,negative
actually,neutral
rather sweet,positive
rather,neutral
Nothing more than a run-of-the-mill action flick .,neutral
more than a run-of-the-mill action flick .,neutral
more than a run-of-the-mill action,positive
than a run-of-the-mill action,neutral
a run-of-the-mill action,neutral
run-of-the-mill action,negative
run-of-the-mill,negative
action,neutral
flick .,neutral
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",negative
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire",negative
"Hampered -- no , paralyzed -- by a self-indulgent script ...",negative
"Hampered -- no , paralyzed -- by a self-indulgent script",negative
"Hampered -- no , paralyzed --",neutral
Hampered,neutral
"-- no , paralyzed --",neutral
"no , paralyzed --",neutral
"no , paralyzed",negative
no,negative
", paralyzed",negative
paralyzed,neutral
by a self-indulgent script,negative
a self-indulgent script,negative
self-indulgent script,neutral
self-indulgent,negative
script,neutral
...,neutral
that aims for poetry and ends up sounding like satire,negative
aims for poetry and ends up sounding like satire,negative
aims for poetry and,neutral
aims for poetry,neutral
aims,neutral
for poetry,neutral
poetry,positive
ends up sounding like satire,negative
ends up,neutral
ends,neutral
up,neutral
sounding like satire,neutral
sounding,positive
like satire,neutral
satire,neutral
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",neutral
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on",neutral
"Ice Age is the first computer-generated feature cartoon to feel like other movies , and",positive
"Ice Age is the first computer-generated feature cartoon to feel like other movies ,",neutral
Ice Age is the first computer-generated feature cartoon to feel like other movies,positive
Ice Age,neutral
Ice,neutral
Age,neutral
is the first computer-generated feature cartoon to feel like other movies,positive
the first computer-generated feature cartoon to feel like other movies,positive
the first computer-generated feature cartoon,neutral
first computer-generated feature cartoon,positive
first,neutral
computer-generated feature cartoon,neutral
computer-generated,neutral
feature cartoon,neutral
feature,neutral
cartoon,neutral
to feel like other movies,positive
feel like other movies,neutral
feel,neutral
like other movies,neutral
other movies,neutral
other,neutral
that makes for some glacial pacing early on,neutral
makes for some glacial pacing early on,negative
makes for some glacial pacing,negative
makes,neutral
for some glacial pacing,neutral
some glacial pacing,neutral
glacial pacing,neutral
glacial,neutral
pacing,neutral
early on,neutral
early,neutral
"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .",neutral
"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash",negative
"There 's very little sense to what 's going on here , but",negative
"There 's very little sense to what 's going on here ,",negative
There 's very little sense to what 's going on here,negative
's very little sense to what 's going on here,negative
very little sense to what 's going on here,negative
very little sense,negative
very little,neutral
to what 's going on here,neutral
what 's going on here,negative
's going on here,neutral
going on here,neutral
going on,neutral
here,neutral
the makers serve up the cliches with considerable dash,neutral
the makers,neutral
makers,neutral
serve up the cliches with considerable dash,neutral
serve up,neutral
serve,neutral
the cliches with considerable dash,negative
the cliches,negative
cliches,neutral
with considerable dash,neutral
considerable dash,neutral
considerable,positive
dash,neutral
"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",neutral
Cattaneo,neutral
"should have followed the runaway success of his first film , The Full Monty , with something different .",neutral
"should have followed the runaway success of his first film , The Full Monty , with something different",neutral
"have followed the runaway success of his first film , The Full Monty , with something different",neutral
"followed the runaway success of his first film , The Full Monty , with something different",neutral
"followed the runaway success of his first film , The Full Monty ,",positive
followed,neutral
"the runaway success of his first film , The Full Monty ,",positive
the runaway success,positive
runaway success,positive
runaway,neutral
success,positive
"of his first film , The Full Monty ,",negative
"his first film , The Full Monty ,",neutral
"his first film , The Full Monty",neutral
"his first film ,",neutral
his first film,neutral
first film,neutral
The Full Monty,neutral
Full Monty,neutral
Full,positive
Monty,neutral
with something different,neutral
something different,positive
different,neutral
"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",negative
They,neutral
"'re the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",negative
